Years Elapsed,Cumulative Out-Migrants,Instant Out-Migrants,Average Out-Migrants,Total Re-Migrants,Instant Re-Migrants,Average Re-Migrants,Total Marriages,Total Births,Total Deaths,Average Laborers,Average Household Size,Average Income,Population,GTGP Parcels Per Household,Non-GTGP Parcels Per Household
52,634,81,0.8617021276595744,551,101,1.074468085106383,81.0,266,154,1.7340425531914894,4.308510638297872,20162.632643694906,309,2.393617021276596,0.11702127659574468
53,642,82,0.8723404255319149,558,104,1.1063829787234043,83.0,271,158,1.7340425531914894,4.308510638297872,20324.662529624136,309,2.393617021276596,0.11702127659574468
54,646,81,0.8617021276595744,563,105,1.1170212765957446,84.0,275,165,1.7340425531914894,4.287234042553192,20162.632643694906,307,2.393617021276596,0.11702127659574468
55,652,81,0.8617021276595744,569,105,1.1170212765957446,87.0,284,167,1.7446808510638299,4.361702127659575,20077.951020245015,314,2.393617021276596,0.11702127659574468
56,660,82,0.8723404255319149,576,108,1.148936170212766,90.0,290,170,1.7234042553191489,4.382978723404255,20122.01824753121,316,2.393617021276596,0.11702127659574468
57,666,79,0.8404255319148937,585,110,1.1702127659574468,96.0,301,173,1.7553191489361701,4.5,19776.52553191489,327,2.393617021276596,0.11702127659574468
58,680,80,0.851063829787234,598,111,1.1808510638297873,98.0,310,175,1.7553191489361701,4.5638297872340425,19982.624073617197,333,2.393617021276596,0.11702127659574468
59,689,82,0.8723404255319149,605,111,1.1808510638297873,99.0,316,179,1.7340425531914894,4.5638297872340425,19982.624073617197,333,2.393617021276596,0.11702127659574468
60,696,80,0.851063829787234,614,114,1.2127659574468086,100.0,319,183,1.7553191489361701,4.574468085106383,19776.52553191489,334,2.393617021276596,0.11702127659574468
61,701,82,0.8723404255319149,617,113,1.202127659574468,107.0,323,186,1.7446808510638299,4.5638297872340425,19862.16768411084,333,2.393617021276596,0.11702127659574468
62,709,80,0.851063829787234,627,117,1.2446808510638299,113.0,327,192,1.7553191489361701,4.5638297872340425,19776.52553191489,333,2.393617021276596,0.11702127659574468
63,718,81,0.8617021276595744,635,119,1.2659574468085106,114.0,335,196,1.7553191489361701,4.595744680851064,19980.88002103977,336,2.393617021276596,0.11702127659574468
64,730,81,0.8617021276595744,647,125,1.3297872340425532,115.0,344,202,1.7659574468085106,4.627659574468085,20207.536783025505,339,2.393617021276596,0.11702127659574468
65,735,79,0.8404255319148937,654,128,1.3617021276595744,116.0,350,207,1.7765957446808511,4.659574468085107,19992.209810218937,342,2.393617021276596,0.11702127659574468
66,743,82,0.8723404255319149,659,126,1.3404255319148937,121.0,352,212,1.7553191489361701,4.595744680851064,20204.750678206143,336,2.393617021276596,0.11702127659574468
67,748,82,0.8723404255319149,664,127,1.351063829787234,125.0,362,214,1.7659574468085106,4.680851063829787,20204.750678206143,344,2.393617021276596,0.11702127659574468
68,753,82,0.8723404255319149,669,127,1.351063829787234,129.0,373,217,1.7659574468085106,4.76595744680851,20204.750678206143,352,2.393617021276596,0.11702127659574468
69,756,82,0.8723404255319149,672,126,1.3404255319148937,131.0,381,219,1.7659574468085106,4.829787234042553,20428.13278152774,358,2.393617021276596,0.11702127659574468
70,759,83,0.8829787234042553,674,126,1.3404255319148937,134.0,393,221,1.7659574468085106,4.925531914893617,20881.616841261806,367,2.393617021276596,0.11702127659574468
71,762,82,0.8723404255319149,678,129,1.372340425531915,138.0,402,222,1.7659574468085106,5.0212765957446805,20440.88136345859,376,2.393617021276596,0.11702127659574468
72,765,80,0.851063829787234,683,133,1.4148936170212767,140.0,409,225,1.7872340425531914,5.085106382978723,20226.10996300059,382,2.393617021276596,0.11702127659574468
73,770,80,0.851063829787234,688,133,1.4148936170212767,142.0,419,228,1.7872340425531914,5.159574468085107,20349.266111715275,389,2.393617021276596,0.11702127659574468
74,775,81,0.8617021276595744,692,132,1.4042553191489362,144.0,424,234,1.7765957446808511,5.138297872340425,20349.266111715275,387,2.393617021276596,0.11702127659574468
75,782,79,0.8404255319148937,701,137,1.4574468085106382,145.0,431,239,1.8085106382978724,5.180851063829787,19909.762208052194,391,2.393617021276596,0.11702127659574468
76,790,80,0.851063829787234,708,137,1.4574468085106382,149.0,440,241,1.8085106382978724,5.24468085106383,19961.52563025169,397,2.393617021276596,0.11702127659574468
77,794,79,0.8404255319148937,713,140,1.4893617021276595,152.0,443,245,1.8191489361702127,5.24468085106383,19776.52553191489,397,2.393617021276596,0.11702127659574468
78,802,80,0.851063829787234,720,142,1.5106382978723405,158.0,450,248,1.8085106382978724,5.276595744680851,19795.21485592691,400,2.393617021276596,0.11702127659574468
79,808,79,0.8404255319148937,727,145,1.5425531914893618,160.0,456,253,1.8191489361702127,5.297872340425532,19795.21485592691,402,2.393617021276596,0.11702127659574468
80,814,80,0.851063829787234,732,144,1.5319148936170213,160.0,461,258,1.8191489361702127,5.287234042553192,19867.720344020287,401,2.393617021276596,0.11702127659574468
